pervote_chanc,pervote_partner,topic,salience_chanc,salience_partner,salience_gov,salience_seat,salience_perc,salience_diff,lp,next_election,election,election_date,start_date,total_seats,maj_size,party_chanc,party_partner,seats_chanc,seats_partner,rile_chanc,rile_partner,left_right_chanc,left_right_partner,ideo_chanc,ideo_partner,ideo_gov,left_right_gov,left_right_seat,left_right_perc,rile_diff,bundesratmaj,time,gov,n_laws,europe,mip_share,account_balance_perc_delta,account_balance_perc
35.17,34.247,10,0.0248275862068966,0.0316205533596838,0.0282240697832902,2.81937440370724,0.0281789085930772,0.00679296715278724,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,41,0.5795281579139309,0.10259555555555555,0.32246264074292014,6.039795359024832
35.17,34.247,12,0.023448275862069,0.0461133069828722,0.0347807914224706,3.46796082478241,0.0346301091420169,0.0226650311208032,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,88,0.4262608131817779,3.1935226666666665,0.32246264074292014,6.039795359024832
35.17,34.247,13,0.0813793103448276,0.0961791831357049,0.0887792467402662,8.87131758795927,0.0886808538207654,0.0147998727908773,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,28,0.09523479910576685,3.520627777777778,0.32246264074292014,6.039795359024832
35.17,34.247,14,0.00275862068965517,0.00922266139657444,0.00599064104311481,0.596178371853035,0.00594766663070512,0.00646404070691927,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,8,0.21134199134199133,0.016464,0.32246264074292014,6.039795359024832
35.17,34.247,15,0.0855172413793103,0.0223978919631094,0.0539575666712099,5.42393494811036,0.0543771984581724,0.063119349416201,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,69,0.6209103960991591,0.07025888888888888,0.32246264074292014,6.039795359024832
35.17,34.247,16,0.016551724137931,0.0118577075098814,0.0142047158239062,1.42256712552814,0.0142359227137725,0.00469401662804961,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,11,0.15632011466794074,0.3288208888888889,0.32246264074292014,6.039795359024832
35.17,34.247,17,0.0303448275862069,0.0289855072463768,0.0296651674162919,2.96712358106661,0.0296742044869926,0.00135932033983008,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,14,0.3800848117024588,0.2623066666666667,0.32246264074292014,6.039795359024832
35.17,34.247,18,0.0303448275862069,0.0184453227931489,0.0243950751896779,2.4448197978932598,0.0244741858032451,0.011899504793058,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,16,0.14352170367822242,0.7604122222222223,0.32246264074292014,6.039795359024832
35.17,34.247,19,0.0827586206896552,0.0948616600790514,0.0888101403843533,8.87561089585078,0.08872967662651,0.0121030393893962,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,34,0.4664900857153368,7.263306666666667,0.32246264074292014,6.039795359024832
35.17,34.247,2,0.0344827586206897,0.0790513833992095,0.0567670710099496,5.65681039350455,0.0564707686584321,0.0445686247785198,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,25,0.30508939014202174,6.422956888888889,0.32246264074292014,6.039795359024832
35.17,34.247,2420,0.0537931034482759,0.0250329380764163,0.0394130207623461,3.9541414357756195,0.0396042248812091,0.0287601653718595,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,73,0.21237193896055925,0.9985655555555556,0.32246264074292014,6.039795359024832
35.17,34.247,25,0.00275862068965517,0.00131752305665349,0.00203807187315433,0.204450534473023,0.00204765261789453,0.00144109763300168,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,0,0,0.34111755555555556,0.32246264074292014,6.039795359024832
35.17,34.247,3,0.0441379310344828,0.0461133069828722,0.0451256190086775,4.51168003660507,0.0451124862602127,0.00197537594838944,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,20,0.3732875015483711,2.689464666666667,0.32246264074292014,6.039795359024832
35.17,34.247,4,0.0262068965517241,0.0131752305665349,0.0196910635591295,1.97492406394205,0.0197777010377322,0.0130316659851892,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,28,0.5093364197530864,0.11140511111111111,0.32246264074292014,6.039795359024832
35.17,34.247,5,0.115862068965517,0.13570487483531,0.125783471900413,12.5694887945638,0.125651552415145,0.0198428058697924,16,2009-09-27,2005,2005-09-18,2005-11-22,614,448,CDU,SPD,226,222,25.611,-2.154,6.2503,3.6451,1,-1,Grand Coalition,4.9477,5.00400900900901,4.96501996196897,27.765,1,7,gov_7,42,0.2673678329492283,47.092796222222226,0.32246264074292014,6.039795359024832
