n_laws,month,topic,salience_seat,clp,time,ideo_gov,gov_pop_l1,bundesratmaj,elec_cycle_12,rile_diff,salience_diff,europe,account_balance_perc_l1,salience_chanc,salience_partner,salience_gov,salience_perc,gov_pop_delta,start_date
1,1998-08-01,2,8.88506300305342,15,171,1,-1.459124690338563,0,2,25.155,0.01254502806400267,0.29411764705882354,-0.5192578235361545,9.057971014492754,7.803468208092486,8.43071961129262,8.878526551191253,0.3488108445043473,1994-11-17
0,1998-08-01,5,4.665216666580683,21,171,1,-1.459124690338563,0,2,25.155,0.03179016224065231,0.3235294117647059,-0.5192578235361545,4.2270531400966185,7.40606936416185,5.816561252129233,4.681780588487941,0.3488108445043473,1994-11-17
2,1998-08-01,18,2.584134275818035,57,171,1,-1.459124690338563,0,2,25.155,0.01404945407835581,0.20270270270270271,-0.5192578235361545,2.7777777777777777,1.3728323699421965,2.075305073859987,2.57681395897184,0.3488108445043473,1994-11-17
2,1998-08-01,17,2.685044369056805,10,171,1,-1.459124690338563,0,2,25.155,0.01955928346038927,0.17391304347826086,-0.5192578235361545,2.4154589371980677,4.371387283236994,3.3934231102175314,2.69523552320529,0.3488108445043473,1994-11-17
1,1998-08-01,3,2.0154687967155036,24,171,1,-1.459124690338563,0,2,25.155,0.02355421518527827,0.16129032258064516,-0.5192578235361545,1.6908212560386473,4.046242774566474,2.8685320153025606,2.027741467045471,0.3488108445043473,1994-11-17
3,1998-08-01,721,4.317980369569762,19,171,1,-1.459124690338563,0,2,25.155,0.03288444891234537,0.15384615384615383,-0.5192578235361545,3.864734299516908,7.153179190751445,5.508956745134176,4.335114457770507,0.3488108445043473,1994-11-17
4,1998-08-01,6,3.6284871798840297,7,171,1,-1.459124690338563,0,2,25.155,0.03543429393203205,0.0588235294117647,-0.5192578235361545,3.140096618357488,6.683526011560693,4.911811314959091,3.646949837390649,0.3488108445043473,1994-11-17
0,1998-08-01,25,2.6330469815013675,9,171,1,-1.459124690338563,0,2,25.155,0.02802560665717237,0,-0.5192578235361545,3.0193236714975846,0.2167630057803468,1.6180433386389657,2.6184445407664363,0.3488108445043473,1994-11-17
9,1998-09-01,12,11.755799386171338,60,172,1,-1.1324717285945072,0,2,25.155,0.04961289827148082,0.3950617283950617,-0.5192578235361545,12.439613526570048,7.478323699421965,9.958968612996006,11.729949119464909,0.2418874061056498,1994-11-17
0,1998-09-01,2420,4.04953320425882,40,172,1,-1.1324717285945072,0,2,25.155,0.02217021306302533,0.08771929824561403,-0.5192578235361545,3.7439613526570046,5.960982658959538,4.852472005808271,4.0610847551777285,0.2418874061056498,1994-11-17
