n_laws,topic,salience_seat,time,europe,mip_share,account_balance_perc,rile_diff,salience_diff
42,15,2.27278584062504,3,0.567283950617284,0.003088,-1.2808514336573216,11.76,0.0305361305361305
24,16,4.28528757674486,3,0.06514080901177675,0.028524444444444443,-1.2808514336573216,11.76,0.035964035964036
6,17,1.81014546592436,3,0.2677777777777778,0.0021173333333333335,-1.2808514336573216,11.76,0.0312187812187812
18,18,0.699744141955197,3,0.013968253968253968,0,-1.2808514336573216,11.76,7.32600732600733e-4
35,19,12.3756185188346,3,0.3868187368187368,4.6250684444444445,-1.2808514336573216,11.76,0.0242590742590742
20,2,7.78396226888689,3,0.22717834472220436,20.680494,-1.2808514336573216,11.76,0.0083083583083583
51,2420,0.983162566077139,3,0.12791233452445305,0.31340022222222225,-1.2808514336573216,11.76,0.0255411255411255
30,25,6.82384198715857,3,0.023060231949120838,10.891344222222223,-1.2808514336573216,11.76,0.0640526140526141
17,3,6.257281244718429,3,0.38288716961485836,0.5325995555555556,-1.2808514336573216,11.76,0.0273559773559774
27,4,3.20378114347964,3,0.5460444647944648,0.0021453333333333333,-1.2808514336573216,11.76,0.00652680652680653
20,5,5.44186550467958,3,0.24750598328453202,2.0633175555555554,-1.2808514336573216,11.76,0.0222610722610723
10,6,5.36670197474218,3,0.2666074666074666,0.07825444444444445,-1.2808514336573216,11.76,0.0304695304695305
31,721,6.887576410189481,3,0.42162682162682164,3.165306666666667,-1.2808514336573216,11.76,8.65800865800875e-4
3,8,2.72381303788339,3,0.03785103785103785,0,-1.2808514336573216,11.76,0.00527805527805528
37,1,8.49327331689113,2,0.06575932145087592,28.151132558139533,3.3996270835210254,1.33,0.00101547388781431
13,10,0.40086860857247597,2,0.1594002447980416,0.0068497674418604645,3.3996270835210254,1.33,0.00483558994197292
35,12,3.5882594033349404,2,0.1635050995516112,1.6281190697674417,3.3996270835210254,1.33,5.80270793036748e-4
26,13,13.9426416342496,2,0,7.114657441860465,3.3996270835210254,1.33,0.0612669245647969
10,14,1.80268635896256,2,0.06468612723147904,2.4081958139534883,3.3996270835210254,1.33,0.0190038684719536
27,15,4.0328820116054205,2,0.5488104168899368,0.0034590697674418604,3.3996270835210254,1.33,0.0130077369439072
18,16,6.2388817383676205,2,0.07269102990033223,3.8484351162790698,3.3996270835210254,1.33,0.0423597678916828
5,17,3.52030947775629,2,0.0377906976744186,0,3.3996270835210254,1.33,0.0260154738878143
15,18,0.877021420405111,2,0.03294573643410852,0,3.3996270835210254,1.33,3.86847195357833e-4
19,19,7.58227693369669,2,0.25554445554445554,2.651582558139535,3.3996270835210254,1.33,0.0147001934235977
8,2,7.749706988416161,2,0.014405423218152717,9.83939,3.3996270835210254,1.33,0.0573017408123791
34,2420,2.8618063894501398,2,0.08122073210801839,1.2643320930232558,3.3996270835210254,1.33,0.0203094777562863
15,25,3.2020593501254697,2,0,19.18925395348837,3.3996270835210254,1.33,0.0276595744680851
